20231009	16:22:15	754a56b5-ea2f-4298-acb2-7dde6b1b5988	OPTIONS	https://www.google.com	 /
20231009	16:22:15	d30d269a-65c7-441d-9f50-2a713a291e8e	GET	https://www.google.com	 /
20231009	16:22:34	f618cb62-6a81-42c7-8074-a95eb6c68048	OPTIONS	https://www.google.com	 /
20231009	16:22:34	1cd69e8f-c791-4538-914a-00c9e43191c1	GET	https://www.google.com	 /
20231009	16:25:01	e775f32e-0dbb-484f-a48f-84319b3dab0c	OPTIONS	https://www.google.com	 /
20231009	16:25:01	705c23fe-8441-46a4-bbd8-0880736885fb	GET	https://www.google.com	 /
20231009	16:25:25	365aa271-864b-4d30-8c1e-c8f40aa8ba91	GET	undefined	 /
20231009	16:25:25	a47e08a1-f802-4bd1-b3ce-a7c5b39237af	GET	undefined	 /favicon.ico
20231009	16:25:29	05d6dc2e-0472-4726-b726-5d5004d38b4e	GET	undefined	 /
20231009	16:25:29	9b116a2e-6606-4a59-803a-ba7c9be70fa7	GET	undefined	 /favicon.ico
20231009	16:28:37	84c43319-280c-49f7-8b25-281258d00006	OPTIONS	https://www.google.com	 /
20231009	16:28:37	5c4bc13e-71a1-42a2-97cb-6d36daaa0b14	GET	https://www.google.com	 /
20231009	16:45:09	0639b2b9-9aca-4435-af6d-f5778bf73620	OPTIONS	https://www.google.com	 /
20231009	16:45:09	3d82deb4-d500-4281-b621-4fe39685c04f	GET	https://www.google.com	 /
20231009	16:45:37	8426c18e-c732-4651-90bc-c03eeda6d1f4	GET	undefined	 /
20231009	16:45:37	652cbbe6-a529-43bc-88fa-4262e479e5c7	GET	undefined	 /favicon.ico
20231009	16:45:40	d3070a88-96eb-48e0-b292-e28608f04db2	GET	undefined	 /
20231009	16:45:40	79ae954d-c883-4be3-90c4-ea3b74e457a3	GET	undefined	 /favicon.ico
20231009	16:45:45	4a979bc5-ae89-4207-8b5a-130c0b43ef4d	GET	undefined	 /
20231009	16:45:45	80f9f48c-4cf5-44ce-9e9d-010dc7959f10	GET	undefined	 /favicon.ico
20231009	17:02:30	f3d3351b-48ae-49e4-8c51-dd4a2adc1986	OPTIONS	https://www.google.com	 /
20231009	17:02:30	a56e5e74-259c-4d68-9ce6-72cfc2ca56d2	GET	https://www.google.com	 /
20231009	17:02:58	0fb0fd3f-0fbf-4dee-b572-407b9c576371	GET	undefined	 /
20231009	17:02:59	a1043e7d-0707-4625-9f47-05f59427713c	GET	undefined	 /favicon.ico
20231009	17:03:05	2b2d0d8a-25bf-4929-91bf-67c0e2cd18cc	GET	undefined	 /
20231009	17:03:05	6e67d14b-d5e1-4efe-b59e-ec7c0d6a65b6	GET	undefined	 /favicon.ico
20231009	17:03:20	fe258650-521d-4257-bbca-6edf660729b9	GET	undefined	 /aaa
20231009	17:03:20	9eab4361-15bd-4141-87ef-4aa061e662f1	GET	undefined	 /favicon.ico
20231009	17:07:30	ba33c4b0-d85e-4fb1-9266-5b10b4af5b11	OPTIONS	https://www.google.com	 /
20231009	17:07:30	e5cd9378-4540-4d2a-9b61-23bb3e01b471	GET	https://www.google.com	 /
20231009	17:10:28	1c762de3-b154-4687-9c58-8fe869937ac1	OPTIONS	https://www.google.com	 /
20231009	17:10:28	fdab03a4-f764-420f-bc09-f4dac299e2b9	GET	https://www.google.com	 /
20231010	21:30:18	da531f22-29ca-41bd-9b3b-01064dca8265	GET	undefined	 /employees
20231011	09:33:16	ed6c2e49-ccbb-4eb5-8422-bbe349f37533	GET	undefined	 /employees
20231011	09:34:24	7508cbaf-a1ef-4143-963b-0e8d6a8e456b	POST	undefined	 /employees
20231011	09:36:59	2497d23e-0ae1-4e88-a9ce-61ba984f9ad4	PUT	undefined	 /employees
20231011	09:37:45	1e8495fc-69b2-4200-8903-d41368018023	DELETE	undefined	 /employees
20231011	11:12:31	e3d44ca0-c964-418a-b0b8-be5fd22e6da5	GET	undefined	 /employees
20231011	11:13:09	53391616-87d3-4101-a4ec-4a55a9e75723	POST	undefined	 /employees
20231011	11:47:23	67dbdff7-cce1-458d-9064-9698920100cf	GET	undefined	 /employees
20231011	11:50:15	4c4126e0-1050-4143-87e0-4dd80e35974c	GET	undefined	 /employees
20231011	11:51:06	c8c2b367-b62a-48ef-8fba-be89a062e3f1	GET	undefined	 /employees
20231011	11:51:29	d7b7a6da-b56f-4236-9bb6-bf032f8f765e	GET	undefined	 /employees
20231011	11:51:43	e1dbc373-66b2-4443-bfd6-3bb1ec1f6a9b	POST	undefined	 /employees
20231011	11:52:36	80f726e6-8fbf-4244-b49d-e891df515130	POST	undefined	 /employees
20231011	12:44:59	d71a5a8a-a3e6-4473-9fdc-d4a6b6882fef	GET	undefined	 /employees
20231011	12:45:18	6a0160cf-30c6-4d02-9c83-ff12f2c44f73	POST	undefined	 /employees
20231011	12:45:59	3a2782b2-707d-43c9-b777-4c13d585dded	PUT	undefined	 /employees
20231011	12:52:56	3d41b627-8c0e-460a-8e6e-ce23d18b26a4	PUT	undefined	 /employees
20231011	14:21:11	65388837-e564-4353-8e22-571672f98425	GET	undefined	 /employees
20231011	14:21:40	0340e436-01e2-46fa-b764-89c47f7b5bd0	GET	undefined	 /employees
20231011	14:22:38	9ad6978e-9316-40b6-91f7-df800f6b1678	POST	undefined	 /employees
20231011	14:23:12	b479a9d2-db85-4d06-be86-f148cd324310	DELETE	undefined	 /employees
20231011	14:47:45	fa827312-9dd1-4c49-933b-7f6ba46566ed	GET	undefined	 /employees/2
20231011	14:49:18	614087b0-3d66-491a-b4bd-5115c2dc19ae	GET	undefined	 /employees
20231011	16:12:07	cfa4d304-c4a7-4872-9c63-adf71937abd7	POST	undefined	 /employees/register
20231011	16:12:43	4ec59054-0ea2-4500-962f-abf2efbca197	POST	undefined	 /register
20231011	16:13:03	589d371c-838e-4708-ae2b-989178e8c297	POST	undefined	 /register
20231011	16:18:35	15c60a7d-d838-462a-9706-adfd732e85f7	POST	undefined	 /register
20231012	11:28:09	601dec11-5ac9-46d4-8ea9-ca16895269d1	POST	undefined	 /auth
20231012	11:53:46	902a1c34-f615-416a-aed0-adde66bd51a8	POST	undefined	 /register
20231012	11:54:00	d07bfb24-64e2-4697-960e-1662dbd8bfcd	POST	undefined	 /auth
20231012	11:54:54	5ebbe3e0-01a0-4518-8bd3-377b1c286f30	POST	undefined	 /auth
20231012	11:55:09	9b6b5157-23fc-47b3-a8cd-b72e01aa0540	POST	undefined	 /auth
20231012	11:56:16	e51be263-2a06-4a2e-ae98-b70d5eb0f164	POST	undefined	 /auth
20231012	11:56:33	d52fa9af-6d9a-4a7f-b1f1-848dfe5b99c7	POST	undefined	 /auth
20231012	11:56:43	c70e4e3c-5933-4454-b007-61f6a0a4049d	POST	undefined	 /auth
20231012	11:56:48	c2947ca0-5c58-49bf-b68b-a6842235d198	POST	undefined	 /auth
20231012	11:56:49	454c21e5-5176-4365-a3fe-112a46d6e3dc	POST	undefined	 /auth
20231012	11:57:48	bffa5853-c535-41bf-8365-ac797ea003bd	POST	undefined	 /auth
20231012	16:02:30	36a71646-68d6-4104-92f2-c0defdf10a34	POST	undefined	 /register
20231012	16:02:49	2f5de350-a2a7-4dac-a388-83b4c9653d0e	POST	undefined	 /auth
20231012	16:03:36	ea5cbdc5-0ee8-41e3-b97e-ed38da8cc1cd	POST	undefined	 /employees
20231012	16:05:28	ae2ce7c9-5647-4d23-95a0-632ff6a44c2b	POST	undefined	 /auth
20231012	16:07:03	f81b3c28-068c-4f50-b0e8-da04a45bda02	POST	undefined	 /employees
20231012	16:07:51	b64a60c8-1a95-48c0-b771-34dc4cc0193d	POST	undefined	 /auth
20231012	16:08:02	d50a848c-abbf-4b91-8b38-ac6362725e93	POST	undefined	 /register
20231012	16:08:13	9bf22556-deb0-406e-bbc5-ae89f4233a95	POST	undefined	 /auth
20231012	16:08:30	b94466a3-bd5c-4590-8e4c-95036ea04693	POST	undefined	 /auth
20231012	16:09:43	85e0fd22-31c8-4b30-9959-58f24358e716	POST	undefined	 /register
20231012	16:09:53	1b7f893a-4d17-4152-a119-38a522536563	POST	undefined	 /auth
20231012	16:10:17	46c46e0d-23f7-47bb-90bb-9492d16cc7b2	POST	undefined	 /employees
20231012	16:12:40	fb6e4c94-0365-4951-bd53-b501324898c9	POST	undefined	 /register
20231012	16:13:00	f1d00ade-88a7-4769-9cd3-2b52cc4693cd	POST	undefined	 /auth
20231012	16:13:22	3804fa18-78c4-4d9e-8a5f-2fc78d922e4c	POST	undefined	 /employees
20231012	16:22:41	3dc3b1b7-bc17-46a2-8093-e816738ae9b7	POST	undefined	 /register
20231012	16:23:00	2f6d31ae-4d62-4d8a-a2d7-ceb19a4a7535	POST	undefined	 /auth
20231012	16:23:30	6ebc057e-c14d-4782-9802-a672543b7d17	POST	undefined	 /employees
20231016	09:37:25	79f87507-62ec-4171-a076-55238b863a88	GET	undefined	 /
20231016	09:37:25	037d81d0-2398-4b9b-bad2-efdcfb5a959d	GET	undefined	 /css/style.css
20231016	09:37:25	0411a5dd-9d57-4b86-a684-1dd8a48b58f2	GET	undefined	 /favicon.ico
20231016	09:42:39	408e0714-5931-4cd4-92f3-97cfab731577	POST	undefined	 /register
20231016	09:43:40	0d5e4ad7-d769-4e95-8726-0d71bb871342	POST	undefined	 /register
20231016	09:44:07	51e80c24-5461-4d7e-9213-88dd8299eea0	POST	undefined	 /register
20231016	09:44:49	c8965866-00c9-49f8-a637-77b5c1c43955	POST	undefined	 /register
20231016	09:47:44	799f1551-7c1d-4ba0-8976-94e1d30cd3d2	POST	undefined	 /register
20231016	09:48:03	c3e5a2ef-b753-4b82-be96-738c5f916d70	POST	undefined	 /auth
20231016	09:48:50	b7ae8184-2acf-43e1-9350-7ed717bae6fd	POST	undefined	 /register
20231016	09:49:05	785592b6-917f-4cb6-8a79-9ccd6d509fee	POST	undefined	 /auth
20231016	09:50:18	e6124357-2889-4b5f-a502-c00e4bb2ba02	POST	undefined	 /employees
20231016	09:50:32	3151d4af-cf99-48b1-a770-026135023da0	GET	undefined	 /employees
20231016	11:11:05	4942ccc0-5069-4868-85dc-d7db215dd6b8	POST	undefined	 /logout
20231016	11:12:33	a76a9b3b-0197-4250-b927-56e32a0ed236	POST	undefined	 /logout
20231016	11:12:35	846a00ef-714b-4603-8ae2-07b11b7b46d8	POST	undefined	 /logout
20231016	11:14:29	8143be65-07f8-4b25-82ef-3f86390301bd	POST	undefined	 /register
20231016	11:14:47	b13fdebe-8b0a-4624-b6f7-f69733d6c974	POST	undefined	 /logout
20231016	11:18:11	64aae0e4-96e0-4d9f-9413-1de09cf3b092	POST	undefined	 /register
20231016	11:18:32	a9eb9cac-fa82-4a75-a129-6001ac4eda63	POST	undefined	 /auth
20231016	11:19:22	df468c3e-27a8-42d5-9a50-34c2ae69e8cf	GET	undefined	 /employees
20231016	11:19:56	3bb6de43-5f70-4f4f-b491-56ff4a4a13ec	POST	undefined	 /auth
20231016	11:21:41	a8e6f265-0b8e-41f0-85e4-ec53365ba204	POST	undefined	 /refresh
20231016	11:23:01	992d45e6-59cb-4f51-83e2-38922a0e7cd0	GET	undefined	 /refresh
20231016	11:23:31	30a3f5b0-8e12-4c52-8c4d-bc0fbdd4e0c7	POST	undefined	 /auth
20231016	11:25:11	efa8e2b9-fc08-4025-b9c9-5f4de0f4a2e4	POST	undefined	 /logout
20231016	11:25:29	28ef84eb-7c5d-4ea5-8b99-c2de7ef9e1ca	POST	undefined	 /logout
20231016	11:26:57	6f79ec4b-1092-46d2-a684-bea861c164ba	POST	undefined	 /logout
20231016	11:28:59	4b56c901-3ca5-471f-ac48-613896c08e51	POST	undefined	 /logout
20231016	11:29:20	ec469cbc-9fb3-4aff-bf12-864ce40c4cce	POST	undefined	 /logout
20231016	11:29:30	a60baaed-3731-45a0-b9e3-82871ef52d98	POST	undefined	 /register
20231016	11:29:38	ea9793fe-e67c-44b2-8fb7-19483010e343	POST	undefined	 /auth
20231016	11:30:18	537955c4-d4b8-4f0a-8707-df4bfa2d2ff4	POST	undefined	 /logout
20231016	11:33:03	bc869774-b1dd-4291-a69f-3cae370ea51e	POST	undefined	 /auth
20231016	11:33:34	f7fefc85-0b90-4a25-b53d-01b0a5d0d1e3	POST	undefined	 /register
20231016	11:34:23	53bffd86-53f5-497c-8c9e-6a671861e38a	POST	undefined	 /auth
20231016	11:34:53	9cc725c0-012c-46e4-bae9-713ca58643ef	GET	undefined	 /employees
20231016	16:05:00	b5e16c32-ce4c-487b-a1ed-cc67850a4227	POST	undefined	 /register
20231016	16:05:24	cb4a3bb2-1848-4f21-b5a3-f6909b927e02	POST	undefined	 /auth
20231016	16:06:59	ff052136-c173-4a0a-a3d0-982feb0c0076	POST	undefined	 /employees
20231016	16:07:16	52ac0994-210c-4628-9f3a-f6d5f4ce68a5	GET	undefined	 /employees
20231016	16:10:54	51dce59d-e0f7-4588-814d-dd10950eb672	POST	undefined	 /auth
20231016	16:11:37	a3c15245-6c49-4994-be78-27e0c5ae5546	GET	undefined	 /employees
20231016	16:32:21	47deb3b0-7f27-4cb0-9335-747042ac2e1c	POST	undefined	 /register
20231016	16:32:41	b13d2055-2879-404a-9367-1172ff3d2596	POST	undefined	 /auth
20231016	16:33:11	ee5029fe-057b-4024-b9b1-10f4311e6c1b	POST	undefined	 /employees
20231016	16:34:08	7cfc5159-b641-41c8-9ecd-9b04e1d2024c	POST	undefined	 /register
20231016	16:34:21	11086e04-daaa-4af9-bc64-ad09f3f752af	POST	undefined	 /register
20231016	16:34:30	b15b4cee-9eed-4018-9907-0dce5a223613	POST	undefined	 /auth
20231016	16:34:53	eb7fde7c-34eb-4400-9d87-895a0e92fc6c	POST	undefined	 /employees
20231016	16:35:45	d104ecbc-f8e6-4be0-94fe-fffc9b3cffdf	GET	undefined	 /employees
